ZYMC,SZD,SFSYL,SF985,SF211,JHRS_3,JHRS_2,JHRS_1,SJRS_3,SJRS_2,SJRS_1,XX_Med_3,XX_Med_2,XX_Med_1,ZY_Max_3,ZY_Max_2,ZY_Max_1,ZY_Min_3,ZY_Min_2,ZY_Min_1,CS,NX,YJ
中西医临床医学,广东,0,0,0,5,5,5,5,5,5,10303,10046,12521,9263,9530,11490,12194,10046,12521,0.8,0.266666666666667,0.933333333333333
预防医学,广东,0,0,0,5,5,5,5,5,5,10303,10046,12521,9069,10046,11981,12194,10573,13624,0.666666666666667,0.6,0.866666666666667
生物医学工程,广东,0,0,0,5,5,5,5,5,5,10303,10046,12521,9480,5153,12242,18566,11693,19552,0.733333333333333,0.4,0.866666666666667
金融工程,湖南,0,0,0,5,5,5,5,5,5,33633,33577,33046,28494,30698,26903,34046,35541,35212,0.266666666666667,0.266666666666667,0.8
国际经济与贸易,湖南,0,0,0,5,5,5,6,5,5,33633,33577,33046,28494,32131,32587,35851,35541,34768,0.5,0,0.822222222222222
翻译,湖南,0,0,0,2,2,5,2,2,5,33633,33577,33046,31015,27067,30491,31471,28863,34364,0.8,0.266666666666667,1
机械类,湖南,0,0,0,9,9,9,10,9,9.5,33633,33577,33605,27327,25285,26306,35851,35057,35454,0.522222222222222,0.75,0.95
电气类,湖南,0,0,0,8,8,8,8,8,8,33633,33577,33605,28494,30252,29373,35851,35541,35696,0.6875,0.6875,0.875
电子信息类,湖南,0,0,0,7,7,7,7,7,7,33633,33577,33046,32777,31180,32587,35359,35541,34768,0.476190476190476,0.619047619047619,0.857142857142857
自动化类,湖南,0,0,0,7,7,7,7,7,7,33633,33577,33605,32777,32131,32454,35359,35541,35450,0.428571428571429,0.857142857142857,0.642857142857143
信息与计算科学,湖南,0,0,0,2,2,2,2,2,2,25364,24020,25342,21994,21594,25342,25364,22007,25342,0.666666666666667,0.5,1
应用统计学,湖南,0,0,0,2,2,2,2,2,2,25364,24020,25342,25364,23187,24947,27327,24845,26903,0.166666666666667,0.166666666666667,0.833333333333333
生物工程,湖南,0,0,0,2,2,2,2,2,2,25364,24020,24692,26910,22405,24657.5,28110,24455,26282.5,0.25,0.5,0.75
建筑学,湖南,0,0,0,2,2,2,2,2,2,25364,24020,25342,25742,22405,23473,27327,22780,24947,0.666666666666667,0.5,1
公共管理类,广东,0,0,0,1,1,1,1,1,1,27327,23612,20877,25742,19275,15719,25742,19275,15719,0.666666666666667,0,1
测绘工程,广东,0,0,0,2,2,2,2,2,2,27327,23612,25469.5,28911,21201,25056,31015,22007,26511,0.5,0.25,1
茶学,广东,0,0,0,1,1,1,1,1,1,27327,23612,25469.5,29337,20803,25070,29337,20803,25070,0.5,0.5,1
地理信息科学,广东,0,0,0,7,4.5,2,7,4.5,2,27327,24102,20877,20932,20561.5,20191,31015,26135.5,21256,0.928571428571428,0.214285714285714,1
临床医学,广东,0,0,0,4,4,4,4,4,4,13282,2835,9948,1842,1862,2643,4738,2606,6661,0.75,0.666666666666667,1
精神医学,广东,0,0,0,2,2,2,2,2,2,13282,2835,9948,12646,3226,13624,13394,3226,13624,0.5,0,0.5
中西医临床医学,广东,0,0,0,1,1,1,1,1,1,13282,2835,9948,12908,2835,6846,12908,2835,6846,1,0,1
临床药学,广东,0,0,0,1,1,1,1,1,1,13282,2835,9948,12646,4089,16639,12646,4089,16639,0,0,0.666666666666667
中药学,广东,0,0,0,2,2,2,2,2,2,13282,2835,9948,15054,3226,11747,15557,3603,13918,0.666666666666667,0,0.833333333333333
计算机类,湖南,0,0,0,8,8,8,8,8,8,33633,33577,33605,29730,23612,26671,32358,33072,32715,0.5625,0.4375,0.75
土木类,湖南,0,0,0,9,9,6,9,9,6,33633,33577,33046,31926,29788,30491,35359,35541,35212,0.5,0.62962962962963,0.759259259259259
印刷工程,湖南,0,0,0,5,6.5,8,5,6.5,8,33633,33339.5,33046,33183,31837,30491,35359,34419,33479,0.475,0.6,0.9375
建筑学,湖南,0,0,0,4,4,4,5,4,4.5,33633,33577,33605,20932,30252,25592,34046,33577,33811.5,0.8,0.225,0.775
城乡规划,湖南,0,0,0,6,6,6,8,6,7,33633,33577,33605,28110,33072,30591,35851,35541,35696,0.645833333333333,0.208333333333333,0.916666666666667
工商管理类,湖南,0,0,0,4,5,4.5,4,5,4.5,33633,33577,33605,31471,31660,31565.5,34046,35057,34551.5,0.35,0.1,0.8
城乡规划,湖南,0,0,0,2,2,2,2,2,2,25364,24020,25342,28911,23612,25342,30139,24845,26903,0.833333333333333,0.5,1
英语,湖南,0,0,0,2,2,2,2,2,2,25364,24020,25342,23478,24455,23107,24638,24845,23874,0.333333333333333,0.166666666666667,0.833333333333333
应用心理学,湖南,0,0,0,2,2,2,2,2,2,25364,24020,25342,21994,23612,22743,22734,24020,23874,0.5,0.166666666666667,0.833333333333333
材料科学与工程,湖南,0,0,0,4,4,4,4,4,4,25364,24020,24692,25364,24455,24909.5,31926,25708,28817,0.5,0.5,0.75
动物科学,广东,0,0,0,7,1,4,7,1,4,27327,23612,25469.5,24262,20803,22532.5,28110,20803,24456.5,0.857142857142857,0.642857142857143,0.928571428571428
动物药学,广东,0,0,0,1,1,1,1,1,1,27327,23612,25469.5,26910,21594,24252,26910,21594,24252,0.5,0.5,1
动物医学,广东,0,0,0,2,2,2,5,2,3.5,27327,23612,25469.5,18907,22007,20457,26132,38002,32067,0.8,0.6,1
工业设计,广东,0,0,0,2,2,2,2,2,2,27327,24102,20877,29337,23441,17545,31015,26135.5,21256,1,0.5,1
护理学,广东,0,0,0,2,1,1,3,2,1,13282,2835,9948,17929,2835,10689,18566,18895,10689,0.722222222222222,0.444444444444444,0.888888888888889
生物医学工程,广东,0,0,0,3,2,2,3,2,2,13282,2835,9948,3183,2606,9948,15821,3603,18869,0.444444444444444,0.166666666666667,0.666666666666667
生物技术,广东,0,0,0,3,1,2,2,1,2,13282,2835,9948,11202,3902,8980,17335,3902,10199,0.5,0.166666666666667,0.5
会计学,湖南,0,0,0,1,4,2.5,1,6,3.5,33633,33577,33605,27327,28863,28095,27327,32131,29729,0.75,0.25,0.833333333333333
财务管理,湖南,0,0,0,2,2,2,3,2,2.5,33633,33577,33605,34046,30252,32149,34877,31660,33268.5,0.583333333333333,0.25,1
能源与动力工程,湖南,0,0,0,2,4,6,2,4,6,28110,28872,29634,26132,26894,27656,26910,28500,30090,0.333333333333333,0.75,0.916666666666667
工商管理,湖南,1,0,1,2,2,2,2,2,2,11911,11134,11522.5,12194,10876,11535,12646,11413,12029.5,0.25,0,0.75
临床医学,湖南,1,0,1,2,2,2,2,2,2,11911,11134,11522.5,10740,10312,10526,10983,10312,10647.5,0.5,0,0.75
化学(师范类),湖南,1,0,1,2,2,2,2,2,2,11911,11134,11522.5,9263,6499,7881,9480,6933,8206.5,0.5,0.25,1
家具设计与工程,广东,0,0,0,2,1.5,1,2,1.5,1,27327,24102,20877,19945,18909.5,17874,26910,22392,17874,1,0,1
农学,广东,0,0,0,5,3.5,2,5,3.5,2,27327,24102,20877,24999,22275.5,19552,28494,24875,21256,0.9,0.25,0.8
麻醉学,广东,0,0,0,2,3,2.5,2,3,2.5,10525,11693,11109,9069,9267,9168,10525,11134,10829.5,0.583333333333333,0,1
医学影像学,广东,0,0,0,2,2,1,2,2,1,10525,11693,10820,10525,7561,9948,11202,10573,9948,0.666666666666667,0.166666666666667,1
临床医学,广东,0,0,0,3,2,2,3,2,2,10525,11693,10820,9887,12316,10442,10313,13210,11490,0.722222222222222,0.722222222222222,0.888888888888889
电子信息类,湖南,0,0,0,2,2.5,3,2,2,2,28110,28872,29634,26910,28914.5,30919,27327,29123,30919,0.75,0.5,0.75
核工程类,湖南,0,0,0,3,2.5,2,3,2.5,2,28110,28872,29634,15821,19094,22367,21263,24083,26903,0.583333333333333,0.75,0.833333333333333
矿业类,湖南,0,0,0,2,2.5,3,2,2.5,3,28110,28872,29634,28110,27883,27656,30139,29686,29233,0.583333333333333,1,0.75
环境工程,湖南,0,0,0,3,3.5,4,3,3.5,4,28110,28872,29634,29337,27719,26101,35851,32129.5,28408,0.708333333333333,0.541666666666667,1
土地资源管理,湖南,1,0,1,2,6,4,2,6,4,11911,11134,11522.5,13170,8267,10718.5,13170,10312,11741,0.333333333333333,0,0.916666666666667
生物科学类,广东,0,0,0,4,3,2,4,3,2,27327,24102,20877,15821,18171,20521,26519,23698,20877,0.875,0.25,0.5
食品科学与工程,广东,0,0,0,2,1.5,1,2,1.5,1,27327,24102,20877,23105,21476,19847,27327,23587,19847,0.75,0.5,1
水利水电工程,广东,0,0,0,5,3,1,5,3,1,27327,24102,20877,25742,22134.5,18527,31471,24999,18527,0.8,0.4,0.9
能源动力类,湖南,0,0,0,3,2,3,3,2,3,22380,17077,15719,26132,16739,14222,26519,17424,14820,0.666666666666667,0.777777777777778,0.888888888888889
电子信息工程,湖南,0,0,0,3,2,2,3,2,2,22380,17077,15719,16975,15708,10442,23478,16739,14511,0.388888888888889,0.722222222222222,0.666666666666667
通信工程,湖南,0,0,0,2,3,2,2,3,2,22380,17077,15719,15054,16396,12521,20613,18111,13918,0.722222222222222,0.833333333333333,0.666666666666667
自动化,湖南,0,0,0,3,2,2.5,4,2,3,22380,17077,19728.5,19595,13809,16702,26132,14438,20285,0.625,0.75,0.875
工程力学,湖南,0,0,0,2,2,2,2,2,2,22380,17077,15719,23478,24020,13368,24638,24845,16639,0.333333333333333,0.666666666666667,1
风景园林,湖南,0,0,0,2,3,4,2,2.5,3,28110,28872,29634,22734,26612.5,30491,30568,30743.5,30919,0.333333333333333,0.333333333333333,0.583333333333333
化工与制药类,湖南,0,0,0,8,6.5,5,8,6,4,28110,28872,29634,22734,25571,28408,31926,31835,31744,0.25,0.5,0.5625
材料类,湖南,0,0,0,3,2.5,2,3,4,5,28110,28872,29634,27727,26727,25727,36341,33416,30491,0.266666666666666,0.3,0.9
化学工程与工艺,湖南,1,0,1,2,2,2,2,2,2,11911,11134,11490,10081,9530,11981,10983,10046,12242,0.333333333333333,0.166666666666667,0.833333333333333
制药工程,湖南,1,0,1,2,2,2,2,2,2,11911,11700.5,11490,12194,11071,9948,12908,12327.5,11747,0.25,0.25,0.5
地理信息科学,湖南,1,0,1,2,2,2,2,2,2,11911,11134,11490,12908,12316,11206,13170,12316,11981,0.333333333333333,0.166666666666667,0.833333333333333
土木工程,广东,0,0,0,8,5,2,8,5,2,27327,24102,20877,26132,22500.5,18869,30568,25722.5,20877,0.75,0.4375,0.875
应用化学,广东,0,0,0,7,4.5,2,7,4.5,2,27327,24102,20877,24262,22226.5,20191,31015,26515,22015,0.464285714285715,0.214285714285714,1
大气科学,广东,0,0,0,3,3,2,3,3,2,34877,35541,33046,23849,33577,34364,31015,35541,34768,0.444444444444444,0.333333333333333,1
土木工程,湖南,0,0,0,2,2,2,2,2,3,22380,17077,15719,23849,29788,17545,25364,31180,17874,0.555555555555556,0.555555555555556,0.833333333333333
测绘工程,湖南,0,0,0,2,2,2,2,2,2,22380,17077,19728.5,23478,17424,20451,24999,22780,23889.5,0.25,0.5,1
环境工程,湖南,0,0,0,2,2,2,2,2,2,22380,17077,19728.5,26132,17077,21604.5,26132,17786,21959,0,0.5,0.75
工商管理,湖南,1,1,1,2,6,2,2,6,2,4984,5509,5494,5116,5700,4862,5116,6308,6100,0.833333333333333,0.555555555555556,0.944444444444444
生物技术,湖南,0,0,0,4,3,3.5,4,3,3.5,28110,27067,27588.5,20613,25285,22949,30568,27067,28817.5,0.458333333333333,0.625,0.875
药学,湖南,0,0,0,2,2,2,2,1,1.5,28110,27067,27588.5,21994,28400,25197,24638,28400,26519,0.5,0,1
卫生检验与检疫,湖南,0,0,0,3,2.5,2,3,2.5,2,28110,28872,29634,20292,22267.5,24243,26132,29144.5,32157,0.75,0.416666666666667,0.75
护理学,湖南,0,0,0,2,2,2,9,2,5.5,28110,27067,27588.5,24262,26607,25434.5,30139,27501,28820,0.472222222222222,0.25,1
经济学,湖南,0,0,0,2,3,2.5,2,2,2,28110,27067,27588.5,23849,28400,26124.5,27327,29327,28327,0.25,0.75,0.5
物联网工程,湖南,1,0,1,2,2,2,2,2,2,11911,11134,11490,12194,12020,11206,12908,13520,11981,1,0.333333333333333,0.833333333333333
临床医学,广东,1,1,1,8,5,2,8,5,2,1115,1062,1009,480,672.5,865,667,983,1299,0.9375,0.75,0.5625
口腔医学,广东,1,1,1,2,5,3.5,2,6,4,1115,1059,1087,480,1513,996.5,710,1942,1326,0.916666666666667,0.583333333333333,1
海洋科学,广东,0,0,0,4,4,2,4,4,2,34877,35541,33046,25364,30252,16935,29730,36051,24243,0.583333333333333,0.583333333333333,0.916666666666667
海洋技术,广东,0,0,0,1,1,1,1,1,1,34877,35541,33046,33183,32603,25727,33183,32603,25727,0.666666666666667,0.666666666666667,0.666666666666667
食品科学与工程,广东,0,0,0,6,4,4,6,4,4,34877,35541,33046,33183,25708,29233,38627,36051,34364,0.805555555555556,0.333333333333333,0.861111111111111
食品质量与安全,广东,0,0,0,7,4,1,7,4,1,34877,35541,33046,35359,31180,32587,39601,36536,32587,0.488095238095238,0.261904761904762,0.904761904761905
水产养殖学,广东,0,0,0,5,2,2,5,2,2,34877,35541,33046,34046,34558,27267,37277,35541,33046,0.366666666666667,0.533333333333333,0.766666666666667
数学类,湖南,1,1,1,3,1,2,3,1,2,4984,5509,5246.5,4490,6108,5299,4738,6108,5423,1,0.5,1
电子信息工程,湖南,1,1,1,3,3.5,4,3,3.5,4,4984,5239,5494,4490,4952,5414,4606,5353,6100,0.583333333333333,0.75,1
化学类,湖南,1,1,1,3,3.5,4,3,3.5,4,4984,5239,5494,4606,4140.5,3675,4738,4984,5230,0.708333333333333,0.416666666666667,0.875
生物技术,湖南,1,1,1,1,4,7,1,4,7,4984,5239,5494,4984,4489.5,3995,4984,5730,6476,0.928571428571428,0.357142857142857,1
生物医学工程,湖南,1,1,1,3,4.5,6,3,4.5,6,4984,5239,5494,4984,4557.5,4131,5690,6175.5,6661,0.75,0.583333333333333,0.833333333333333
大气科学类,广东,1,1,1,3,5,4,3,5,4,1115,1059,1087,843,575,709,1637,860,1248.5,0.833333333333333,0.266666666666666,0.9
预防医学,广东,1,1,1,2,2.5,3,2,2.5,3,1115,1062,1009,1004,1006.5,1009,1115,1207,1299,1,0.416666666666667,1
生物医学工程,广东,1,1,1,5,2,3.5,5,2,3.5,1115,1059,1087,1061,1587,1324,1390,1862,1626,0.55,0.45,0.65
中医学,广东,1,0,0,2,2,2,2,2,2,12420,16567.5,11349,7925,16396,6100,11202,16739,7865,0.833333333333333,0.666666666666667,0.833333333333333
临床医学,广东,1,0,0,1,1,1,1,1,1,12420,16567.5,14493.75,8289,13210,10749.5,8289,13210,10749.5,1,0,1
针灸推拿学,广东,1,0,0,1,1,1,1,1,1,12420,16567.5,14493.75,12646,8771,10708.5,12646,8771,10708.5,1,0.5,1
康复治疗学,广东,1,0,0,1,1,1,1,1,1,12420,11884.5,11349,10740,15293.5,19847,10740,15293.5,19847,1,0.5,1
医学检验技术,广东,1,0,0,1,1,1,1,1,1,12420,16567.5,11349,12194,17786,13368,12194,17786,13368,0.666666666666667,0,0.666666666666667
中药学类,广东,1,0,0,1,1,1,1,1,1,12420,16567.5,14493.75,12908,14760,13834,12908,14760,13834,0.5,0,1
建筑学,湖南,1,1,1,4,1,1,4,1,1,4984,5509,5494,4490,5153,7263,5116,5153,7263,0.25,0.75,0.666666666666667
土木类,湖南,1,1,1,7,7,7,7,7,7,4984,5509,5246.5,4984,4616,4800,5536,5700,5618,0.857142857142857,0.928571428571428,1
城乡规划,湖南,1,1,1,1,4,7,1,4,7,4984,5239,5494,5250,4925.5,4601,5250,6150,7050,0.857142857142857,0.285714285714285,0.928571428571428
交通运输类,湖南,1,1,1,9,9,9,9,9,9,3288,3337,2759,2363,3085,1542,4227,4960,3252,0.740740740740741,0.666666666666667,0.962962962962963
机械类,湖南,1,1,1,8,8,8,8,8,8,3288,3337,2759,3091,2952,2307,4357,4253,3537,0.833333333333333,0.958333333333333,0.833333333333333
电子信息类,湖南,1,1,1,4,4,4,4,4,4,3288,3337,2759,3016,3085,1774,3091,3337,3143,0.916666666666667,0.75,1
药学(深圳),广东,1,1,1,2,2.5,3,2,2.5,3,1115,1062,1009,788,862.5,937,843,962.5,1082,1,0.666666666666667,1
药学类,广东,1,0,0,2,2,2,2,2,2,12420,16567.5,14493.75,16100,15386,15743,18907,18895,18901,0.75,0.5,1
应用物理学,湖南,1,1,1,3,6.5,10,3,6.5,10,4984,5239,5494,5250,4925.5,4601,5536,6399.5,7263,0.516666666666666,0.733333333333334,0.783333333333333
能源与动力工程,湖南,1,1,1,2,2,2,2,2,2,4984,5239,5494,5394,4840.5,4287,5394,5312,5230,1,0.5,1
材料类(深圳),广东,1,1,1,5,3.5,2,5,3.5,2,1115,1062,1009,1322,1165.5,1009,1701,1500,1299,0.9,0.7,0.9
商务英语,广东,0,0,0,1,1,1,1,1,1,12170,12020,11206,4357,9267,10442,4357,9267,10442,0.333333333333333,0.333333333333333,1
国际商务,广东,0,0,0,1,1,1,1,1,1,12170,12020,11206,6762,9790,9948,6762,9790,9948,0.666666666666667,0.333333333333333,1
西班牙语,广东,0,0,0,1,1,1,1,1,1,12170,12020,11206,5841,8267,9702,5841,8267,9702,1,0.333333333333333,1
统计学类,湖南,1,1,1,1,2,3,1,2,3,4984,5239,5494,5116,3879.5,2643,5116,4623.5,4131,1,0.833333333333333,1
精算学,湖南,1,1,1,1,1,1,1,1,1,4984,5509,5246.5,5116,6308,5712,5116,6308,5712,0.5,1,1
软件工程,湖南,1,1,1,6,5,5.5,6,5,5.5,4984,5509,5246.5,4227,5509,4868,4606,5920,5263,0.733333333333334,0.633333333333334,1
信息与计算科学,湖南,0,0,0,2,2,2,2,2,2,21263,18111,16935,21994,16053,17545,23105,20803,17874,0.666666666666667,0.5,0.833333333333333
化工与制药类,湖南,0,0,0,4,3,5,2,3,5,21263,18111,16935,18254,16396,17223,24638,20803,18216,0.411111111111111,0.466666666666667,0.833333333333333
环境工程,湖南,0,0,0,2,2,2,0,1,0.5,21263,18111,19687,20803,20803,20803,20803,20803,20803,1,1,1
能源与动力工程,湖南,0,0,0,2,2,3,2,2,3,21263,18111,16935,22734,16739,16639,24262,17424,17223,0.444444444444444,0.833333333333333,0.666666666666667
自动化,湖南,0,0,0,3,3,3,3,4,3.5,21263,18111,19687,19595,20060,19827.5,21263,23187,22225,0.833333333333333,1,0.833333333333333
朝鲜语,广东,0,0,0,1,1,1,1,1,1,12170,12020,12095,6603,10046,8324.5,6603,10046,8324.5,0.5,0,0.5
国际经济与贸易,广东,0,0,0,1,1,1,1,1,1,12170,11688,11206,8289,9889.5,11490,8289,9889.5,11490,1,0,1
工商管理类,广东,0,0,0,3,3,3,3,3,3,12170,12020,12095,7925,11693,9809,11202,13210,12206,0.833333333333333,0.333333333333333,1
金融学类,广东,0,0,0,1,1,1,1,1,1,12170,12020,12095,11202,11134,11168,11202,11134,11168,1,0.5,0.5
经济统计学,广东,0,0,0,6,1,3.5,6,1,3.5,12170,12020,12095,11202,14111,12656.5,14271,14111,14191,0.333333333333333,0.0833333333333335,1
动物科学,湖南,0,0,0,2,4,4,2,4,4,31471,29327,27267,26132,27501,25727,28110,36536,28408,0.5,0.0833333333333333,0.916666666666667
烟草,湖南,0,0,0,4,4,4,4,4,4,31471,29327,27267,29337,26607,24947,32358,29788,29233,0.583333333333333,0.416666666666667,0.916666666666667
园艺,湖南,0,0,0,2,2,4,2,2,4,31471,29327,27267,26910,27501,22367,32777,27501,24947,0.75,0.25,1
动物医学类,湖南,0,0,0,3,4,3.5,3,4,3.5,31471,29327,30399,30568,26156,28362,31926,34558,33242,0.25,0.125,0.833333333333333
电子信息工程,湖南,0,0,0,2,2,2,2,2,2,21263,18111,16935,18566,15060,14820,19945,17786,16332,0.833333333333333,0.833333333333333,0.833333333333333
通信工程,湖南,0,0,0,2,2,2,2,2,2,21263,18111,16935,14506,14111,15719,19242,17786,16332,0.666666666666667,0.666666666666667,1
工程管理,湖南,0,0,0,2,2,2,2,1,2,21263,18111,16935,21994,20423,17545,23105,20423,17545,0.833333333333333,0.833333333333333,1
机械类,湖南,0,0,0,8,8,6,7,9,6,21263,18111,16935,17929,17077,15423,24638,22780,17545,0.534391534391534,0.915343915343915,0.888888888888889
工商管理类,广东,1,1,1,2,1.5,1,2,1.5,1,2363,2335,2307,2451,2323.5,2196,2703,2449.5,2196,1,0.5,1
生物医学工程,广东,1,1,1,2,2,3,2,2,3,2363,2365,2307,2545,2156,2417,2545,2952,2417,1,0.777777777777778,1
分子科学与工程,广东,1,1,1,1,2,3,1,2,3,2363,2335,2307,2628,2467.5,2307,2628,2579.5,2531,1,1,1
智能制造工程,广东,1,1,1,1,2,2,1,2,2,2363,2365,2307,1978,1942,1456,1978,2365,2196,0.833333333333333,0.666666666666667,1
法学,广东,0,0,0,3,2,2.5,3,2,2.5,12170,12020,12095,13967,12020,12993.5,14506,12911,13708.5,1,0.25,0.75
计算机类,广东,0,0,0,5,3,4,7,3,5,12170,12020,12095,11202,12594,11898,16369,13809,15089,0.595238095238095,0.309523809523809,0.833333333333333
机械类,广东,0,0,0,3,3,3,3,3,3,14506,15112.5,15719,10525,12373.5,14222,13967,14695,15423,0.5,0.833333333333333,1
自动化类,广东,0,0,0,3,3,3,3,3,3,14506,15112.5,15719,10525,13122,15719,13967,14843,15719,0.666666666666667,1,1
旅游管理类,湖南,0,0,0,3,2,2,3,2,2,32777,31180,30491,31015,26607,28030,36341,27501,28030,0.5,0.333333333333333,0.833333333333333
生物科学类,湖北,0,0,0,5,5,3,5,5,4,21263,17786,17545,20292,17424,17545,27727,19275,18869,0.516666666666667,0.583333333333333,0.85
电子信息类,湖北,0,0,0,3,3,2,3,3,2,21263,17786,17545,17929,14438,14511,19242,17786,17874,0.111111111111111,0.888888888888889,0.888888888888889
计算机类,湖北,0,0,0,4,4,4,4,4,4,21263,17786,17545,17929,14438,15423,23478,17786,16935,0.583333333333333,0.75,0.833333333333333
化工与制药类,湖北,0,0,0,4,4,4,4,4,4,21263,17786,17545,13967,17786,15133,26519,21594,18527,0.583333333333333,0.333333333333333,0.833333333333333
公共管理类,湖北,0,0,0,2,2,2,2,2,2,21263,17786,17545,25364,16739,17545,26519,27067,18527,0.333333333333333,0.666666666666667,0.5
法学类,湖北,0,0,0,2,2,2,2,2,2,27123,22007,23473,20932,20060,20877,21994,20060,21624,0.666666666666667,0,0.833333333333333
电子商务,湖北,1,0,1,1,1,1,1,1,1,8480,7561,7693,9263,7791,7475,9263,7791,7475,0.666666666666667,0.666666666666667,1
信息与计算科学,湖北,0,0,0,3,3,2,3,3,2,19242,15547,13624,14506,12911,11981,20292,15060,13088,0.611111111111111,0.888888888888889,0.888888888888889
能源与动力工程,湖北,0,0,0,2,3,2,2,3,2,19242,15547,13624,19595,14111,12242,22734,20060,13918,0.333333333333333,0.888888888888889,0.833333333333333
材料化学,湖北,0,0,0,3,2,2.5,3,2,2.5,19242,15547,17394.5,12646,15708,14177,20932,17424,19178,0.666666666666667,0.833333333333333,1
机械类,湖北,0,0,0,5,3,3,5,3,3,19242,15547,13624,16369,14760,13088,21994,17077,13624,0.244444444444444,1,0.866666666666667
电子信息类,湖北,0,0,0,4,3,2,4,3,2,19242,15547,13624,16975,12316,13918,21994,15060,14222,0.916666666666667,0.916666666666667,1
电子信息工程,山东,0,0,0,3,3,3,3,3,3,33633,32603,32157,32358,31180,27267,34046,33072,32157,0.777777777777778,0.555555555555556,0.888888888888889
化学工程与工艺,山东,0,0,0,4,4,4,4,4,4,33633,32603,32157,26910,29327,28030,35359,32603,32157,0.583333333333333,0.666666666666667,0.583333333333333
机器人工程,湖北,0,0,0,3,3,3,3,3,3,19242,15547,17394.5,20932,12594,16763,23105,13809,18457,0.333333333333333,0.833333333333333,0.666666666666667
计算机类,湖北,0,0,0,3,3,3,3,3,3,19242,15547,13624,16369,11413,12242,16653,13210,13088,0.222222222222222,0.888888888888889,1
土木类,湖北,0,0,0,3,3,3,3,3,3,19242,15547,13624,16100,14111,13624,23105,17077,13918,0.222222222222222,1,1
临床医学,湖北,0,0,0,4,4,3,4,4,3,19242,15547,13624,15305,13210,11747,18907,18895,12803,0.722222222222222,0.888888888888889,0.805555555555556
水利类,湖北,0,0,0,2,2,2,2,2,2,18566,22983.5,20774.75,18566,20423,19494.5,21263,21201,21232,0.5,1,0.75
土木工程,湖北,0,0,0,2,2,3,2,2,3,18566,22983.5,20877,18907,22007,18216,19595,24455,20877,0.666666666666667,0.666666666666667,1
经济学类,山东,0,0,0,1,1,1,1,1,1,18254,23816,16332,13967,23187,16332,13967,23187,16332,0.333333333333333,0,0.666666666666667
德语,山东,0,0,0,1,1,1,1,1,1,18254,23816,16332,19242,25708,15719,19242,25708,15719,1,0.333333333333333,0.666666666666667
西班牙语,山东,0,0,0,1,1,1,1,1,1,18254,23816,16332,18907,18895,15133,18907,18895,15133,0.666666666666667,0.333333333333333,0.666666666666667
数学类,山东,0,0,0,1,1,1,1,1,1,18254,23816,16332,16975,15708,15133,16975,15708,15133,1,0.333333333333333,1
电子信息类,山东,0,0,0,1,1,1,1,1,1,18254,23816,16332,16100,18895,13918,16100,18895,13918,1,0.333333333333333,1
计算机类,河南,1,0,0,3,3,3,3,3,3,17640,17786,17713,13676,17424,15550,15821,20060,17940.5,0.166666666666666,0.666666666666667,0.666666666666667
旅游管理,河南,1,0,0,2,3,2.5,3,3,3,17640,17786,17713,18907,17424,18165.5,20292,18111,19201.5,0.666666666666667,0.666666666666667,0.833333333333333
临床医学,湖北,0,0,0,4,4,4,6,4,5,18566,22983.5,20774.75,17640,16739,17189.5,21263,25285,23274,0.541666666666667,0.583333333333333,0.833333333333333
社会学,湖北,1,0,1,1,3,2,1,3,2,6156,6499,4131,7255,12911,2531,7255,27501,4601,0.277777777777778,0.111111111111111,1
物理学,湖南,0,0,0,2,2,2,2,2,2,22380,17077,19728.5,13967,14111,14039,16369,17424,16896.5,0.5,0.5,1
材料类,湖南,0,0,0,2,2,2,2,2,2,22380,17077,19728.5,24638,14760,19699,24638,31660,28149,0.25,0.75,1
材料物理,湖南,0,0,0,2,3,2,2,3,2,22380,17077,15719,19242,16396,16023,21994,29788,16332,0.333333333333333,0.833333333333333,0.833333333333333
材料科学与工程,湖南,0,0,0,2,3,2.5,2,3,2.5,22380,17077,19728.5,21263,15060,18161.5,23105,16396,19750.5,1,0.583333333333333,1
纺织类,山东,0,0,0,4,3,1,4,3,1,18254,23816,16332,37753,25285,17223,39601,28400,17223,0.638888888888889,0.0833333333333333,1
计算机类,山东,0,0,0,1,1,2,1,1,2,18254,23816,16332,16100,16053,15719,16100,16053,16935,0.5,1,1
临床医学,山东,0,0,0,2,2,2,2,2,2,18254,23816,16332,9672,18111,9207,10313,20423,10442,0.833333333333333,0.5,0.833333333333333
自动化,山东,0,0,0,1,1,1,1,1,1,18254,23816,21035,12908,21201,17054.5,12908,21201,17054.5,0,0.5,1
能源与动力工程,山东,0,0,0,2,1,1.5,2,1,1.5,18254,23816,21035,18907,25708,22307.5,33633,25708,29670.5,0.75,0.5,0.5
法学类,湖北,1,0,1,3,3,3,3,3,3,6156,6499,6327.5,4984,3902,4443,5841,6308,6074.5,0.666666666666667,0.333333333333333,0.833333333333333
工商管理类,湖北,1,0,1,2,2,2,2,2,2,6156,6499,6327.5,5995,6933,6464,7076,11134,9105,0.75,0.5,1
物理学类,湖北,1,1,1,6,4,5,7,4,5.5,1061,860,960.5,523,804,663.5,1061,910,985.5,0.875,0.803571428571428,1
经济管理试验班,湖北,1,0,1,2,2,2,2,2,2,6156,6499,6327.5,3743,4253,3998,5250,10046,7648,0.75,0,0.75
