ZYMC,SZD,SFSYL,SF985,SF211,JHRS_3,JHRS_2,JHRS_1,SJRS_3,SJRS_2,SJRS_1,XX_Med_3,XX_Med_2,XX_Med_1,ZY_Max_3,ZY_Max_2,ZY_Max_1,ZY_Min_3,ZY_Min_2,ZY_Min_1,CS,NX,YJ
材料科学与工程,北京,1,0,1,9,9,8,9,9,9,4984,5920,5494,4357,2265,4287,6156,6308,6476,0.666666666666667,0.666666666666667,0.962962962962963
工商管理类,北京,1,0,1,3,2,1,4,2.5,1,4984,5239,5494,4738,4984,5230,5995,5612.5,5230,0.375,0.75,1
机械类,北京,1,0,1,10,4,1,12,4,1,4984,5920,5494,3402,4253,5738,6922,4616,5738,0.861111111111111,0.638888888888889,1
土木类,北京,1,0,1,2,2,2,2,2.5,3,4984,5239,5494,4606,5261,5916,7076,7063,7050,0.166666666666666,0.75,0.833333333333333
针灸推拿学,北京,1,0,1,3,3,3,3,3,3,8289,6108,7198.5,8289,6108,7198.5,9069,9530,9299.5,0.666666666666667,0.166666666666666,1
药事管理,北京,1,0,1,1,1.5,2,1,1.5,2,8289,7829,7369,11449,9055,6661,11449,10445,9441,0.75,0.5,0.5
数学类,北京,1,0,0,2,2,2,2,2,2,7753,9267,8510,5394,8013,6703.5,7255,9790,8522.5,0.5,0.5,1
计算机类,北京,1,0,1,4,1,2.5,4,1,2.5,4984,5920,5452,4116,5344,4730,4357,5344,4850.5,0.875,0.875,1
自动化类,北京,1,0,1,5,3.5,2,5,3.5,2,4984,5239,5494,3981,3988,3995,4490,5668,6846,0.9,0.3,0.9
数学类,北京,1,0,1,2,2,2,2,2,2,4984,5920,5494,4357,4960,3537,4490,6308,5916,0.833333333333333,0.333333333333333,0.833333333333333
应用物理学,北京,1,0,1,2,2,2,2,2,2,4984,5920,5452,3183,5153,4168,4984,6308,5646,1,0.75,1
应用化学,北京,1,0,1,1,1,2,0,1,2,4984,5920,5494,5698.5,7561,3836,6299,7561,5037,1,1,1
机械电子工程,北京,0,0,0,2,2,2,4,4,4,18410,18696,18553,16369,18497,17433,19595,21594,20594.5,0.625,0.75,0.75
工商管理类,北京,1,0,1,1,1,1,1,1,1,2451,1974,1420.5,3183,2725,751,3183,2725,751,1,0,1
法语,北京,1,0,1,1,1,1,1,1,1,2451,1974,2212.5,2451,1029,1740,2451,1029,1740,1,0,1
电子信息工程,北京,0,0,0,1,1,1,1,1,1,18410,18696,18553,18566,18111,18338.5,18566,18111,18338.5,0,0.5,0.5
汉语国际教育,北京,0,0,0,1,1,2,1,1,2,12908,9790,11206,8875,9790,10951,8875,9790,11206,0.833333333333333,0,1
城乡规划,北京,0,0,0,2,2,2,1,2,1.5,18410,18696,18553,17929,17077,17503,17929,20060,18994.5,1,0.5,1
电子科学与技术,北京,1,0,1,2,3,2.5,2,3,2.5,9480,8771,9125.5,7753,9267,8510,9069,9790,9429.5,0.5,0.833333333333333,1
金融学,北京,0,0,0,1,1,1,1,1,1,12908,9790,11349,18566,6722,12644,18566,6722,12644,1,1,1
通信工程,北京,1,0,1,2,2,2,2,2,2,4116,4253,4184.5,5250,2725,3987.5,5690,3497,4593.5,1,0.25,1
数字媒体技术,北京,1,0,1,2,2,2,2,2,2,4116,4253,4184.5,3183,3337,3260,3288,4616,3952,1,0.5,1
基础医学,黑龙江,0,0,0,1,2,2,1,2,2,13676,11134,10951,13170,27945,7050,13170,34067,11747,0.333333333333333,0.666666666666667,0.833333333333333
生物技术,黑龙江,0,0,0,2,6,7,2,6,7,13676,11134,10951,24262,5920,8091,28110,9034,9948,0.674603174603175,0.5,0.833333333333333
临床医学,黑龙江,0,0,0,8,1,1,8,1,1,13676,11134,10951,5841,8532,10442,13394,8532,10442,0.166666666666667,0.541666666666667,0.666666666666667
服装设计与工程,上海,1,0,1,1,4,2.5,1,4,2.5,8875,8140,8507.5,7925,8771,8348,7925,9034,8479.5,0.375,0.25,0.5
计算机类,上海,1,0,1,6,3.5,1,7,4,1,8875,8638.25,8401.5,7595,7730,7865,8679,8272,7865,0.857142857142857,0.357142857142857,1
英语,上海,1,0,1,2,6,4,2,6,4,8875,8140,8401.5,8289,7561,7865,9672,9034,8512,0.722222222222222,0.388888888888889,1
经济与贸易类,上海,1,0,1,2,2,2,2,4,2,8875,8140,8401.5,6323,5700,5916,7255,7561,8750,0.833333333333333,0,0.916666666666667
金融学类,辽宁,0,0,0,2,2,2,2,2,2,8497,9398.5,8947.75,7753,5509,6631,7925,8532,8228.5,0.75,0.75,0.75
经济统计学,辽宁,0,0,0,1,1,1,1,1,1,8497,9398.5,8947.75,9069,10046,9557.5,9069,10046,9557.5,1,0,1
电子商务,辽宁,0,0,0,1,1,1,1,1,1,8497,9398.5,8291,9069,7359,9441,9069,7359,9441,0.333333333333333,0.333333333333333,0.666666666666667
工商管理类,辽宁,0,0,0,1,1,1,1,1,1,8497,9398.5,8291,9069,9267,7263,9069,9267,7263,1,0,1
计算机类,辽宁,1,0,1,2,2,2,2,2,2,13170,10724.5,11947.25,10081,10876,10478.5,13170,11413,12291.5,0.5,0.25,1
图书馆学,吉林,1,0,1,4,3,2,4,3,2,13394,11918,10442,10983,11236.5,11490,22734,17112,11490,0.75,0.125,0.625
智能科学与技术,吉林,1,0,1,5,4,2,5,4,2,13394,9034,10442,8289,6499,10199,21263,8771,11981,0.4,0.466666666666667,0.833333333333333
临床医学,吉林,0,0,0,2,4,3,3,4,3.5,18907,24870,21888.5,17929,19275,18602,18566,22780,20673,1,0.333333333333333,0.625
中医学,吉林,0,0,0,4,6,5,5,6,5.5,18907,24870,21888.5,13967,24455,19211,20292,27945,24118.5,0.633333333333334,0.366666666666666,0.833333333333333
麻醉学,黑龙江,0,0,0,1,2,2,1,2,2,13676,11134,10951,12646,7146,8291,12646,7359,8512,0.666666666666667,0.666666666666667,0.5
医学影像学,黑龙江,0,0,0,2,1,1,2,1,1,13676,11134,10951,15054,7146,8291,15305,7146,8291,0.666666666666667,0.166666666666667,1
儿科学,黑龙江,0,0,0,2,4,3,2,4,3,13676,11134,10951,9069,10046,12521,13676,14438,13368,0.5,0.361111111111111,0.75
口腔医学,黑龙江,0,0,0,1,1,1,1,1,1,13676,12313.5,10951,12908,12199,11490,12908,12199,11490,0.5,0.5,1
预防医学,黑龙江,0,0,0,4,3,2,4,3,2,13676,11134,10951,12908,9267,10951,16653,15060,11747,0.722222222222222,0.666666666666667,1
临床药学,黑龙江,0,0,0,3,1,1,3,1,1,13676,11134,10951,13170,10573,10689,15821,10573,10689,1,0.666666666666667,1
法医学,黑龙江,0,0,0,1,2,2,1,2,4,13676,11134,10951,15305,18895,17223,15305,30698,24243,0.333333333333333,0.416666666666667,0.833333333333333
理科试验班类,上海,1,0,1,1,3,2,1,3,2,8875,8140,8507.5,8107,8267,8187,8107,9267,8687,0.833333333333333,0.833333333333333,1
化学类,上海,1,0,1,2,2,2,2,2,2,8875,8638.25,8401.5,9263,8887.5,8512,10081,9530.5,8980,0.25,0.25,1
能源与动力工程,上海,0,0,0,2,2,2,2,2,2,13676,15708,17223,11911,15708,15423,12194,15708,18216,0.833333333333333,1,1
机械电子工程,上海,0,0,0,1,1,1,1,1,1,13676,15708,14692,13394,14438,13916,13394,14438,13916,1,0.5,1
数学与应用数学,辽宁,1,0,1,2,2,2,2,2,2,13170,12330,11490,11449,11200,10951,13967,13104.5,12242,0.5,0.5,1
中医骨伤科学,吉林,0,0,0,1,4,2.5,1,4,2.5,18907,24870,21888.5,16369,24020,20194.5,16369,27945,22157,0.375,0.25,1
金融学,黑龙江,0,0,0,2,2,2,2,2,2,34702.5,27945,28030,29337,27945,23107,31926,28400,23874,0.666666666666667,0.5,0.833333333333333
化学,黑龙江,0,0,0,3,3,2,3,3,2,34702.5,27945,28030,26910,25285,25342,30568,27067,26101,0.388888888888889,0.611111111111111,0.777777777777778
生物医学工程,黑龙江,0,0,0,2,2,3,2,2,3,13676,11134,10951,29730,15708,10951,31015,16053,12521,0.555555555555556,0.333333333333333,0.666666666666667
药学,黑龙江,0,0,0,2,4,4,2,4,2,13676,11134,10951,15305,12911,23473,16369,35057,24947,0.333333333333333,0.166666666666667,0.583333333333333
中医学,黑龙江,0,0,0,9,9,2,9,9,2,26519,22007,21624,19595,15060,14511,25364,21594,15423,0.592592592592593,0.537037037037037,0.537037037037037
